Student_ID,Attendance_Percent,Study_Hours_Per_Day,Activities_Participation,Previous_Sem_Marks,Backlogs,Assignment_Completion_Percent,Participation_Score,Final_Marks,Pass_Fail
STU0374,89.5,1.2,1,59.4,2,73.1,0.9,37.1,Fail
STU0375,100.0,4.3,0,82.3,2,100.0,2.5,78.7,Pass
STU0376,68.8,3.4,1,74.2,1,62.8,3.8,58.2,Pass
STU0377,88.5,0.8,2,64.3,1,75.6,2.4,40.0,Pass
STU0378,80.2,5.5,5,81.7,0,96.2,8.4,88.4,Pass
STU0379,100.0,2.3,1,76.1,0,64.4,1.7,57.5,Pass
STU0380,68.3,2.1,3,61.6,1,56.9,6.0,51.4,Pass
STU0381,67.9,3.8,1,76.7,1,76.9,6.2,62.3,Pass
STU0382,70.8,5.5,5,89.9,0,70.1,7.2,87.3,Pass
STU0383,52.5,1.8,2,55.0,2,30.6,3.8,35.8,Fail
STU0384,71.7,3.6,0,59.6,3,57.1,3.8,44.3,Pass
STU0385,68.9,4.2,1,70.6,1,80.1,3.4,66.3,Pass
STU0386,79.8,4.7,2,89.4,3,81.8,1.7,60.8,Pass
STU0387,82.1,3.8,0,67.2,2,75.6,2.0,61.7,Pass
STU0388,100.0,2.9,1,77.8,1,79.3,3.8,58.6,Pass
STU0389,89.4,2.1,3,66.2,1,59.6,3.3,62.5,Pass
STU0390,71.1,3.6,0,58.4,1,70.1,2.8,63.1,Pass
STU0391,67.2,1.7,0,54.8,2,40.5,3.6,35.7,Fail
STU0392,83.9,0.5,2,61.8,0,71.5,3.9,55.0,Pass
STU0393,62.2,4.2,2,87.8,2,90.8,6.2,62.8,Pass
STU0394,100.0,5.0,2,88.4,0,77.0,5.3,82.0,Pass
STU0395,92.2,0.5,4,67.9,1,59.5,5.4,67.0,Pass
STU0396,72.4,1.8,3,54.8,1,58.2,3.5,55.3,Pass
STU0397,57.4,4.6,1,74.3,0,71.7,2.2,67.3,Pass
STU0398,94.2,7.0,3,98.0,0,100.0,5.3,88.0,Pass
STU0399,76.6,3.5,1,83.7,3,72.2,2.8,51.7,Pass
STU0400,92.9,2.3,3,84.9,0,76.0,4.5,83.3,Pass
STU0401,58.9,3.2,3,69.7,2,94.5,3.3,60.8,Pass
STU0402,70.8,5.8,2,80.5,2,88.7,6.3,77.6,Pass
STU0403,78.1,2.4,3,72.2,0,87.4,3.7,68.3,Pass
STU0404,78.6,2.1,2,66.3,1,73.2,3.6,52.9,Pass
STU0405,72.6,2.7,3,77.5,3,63.1,4.8,57.0,Pass
STU0406,85.5,1.9,1,73.0,0,63.0,5.2,51.8,Pass
STU0407,65.2,3.7,3,70.0,3,71.7,7.7,49.4,Pass
STU0408,76.3,6.3,2,77.2,1,84.5,7.9,76.7,Pass
STU0409,79.4,4.0,4,93.1,0,73.4,3.8,82.2,Pass
STU0410,84.2,3.1,3,81.5,1,73.6,4.4,59.5,Pass
STU0411,86.5,3.0,1,70.5,2,81.6,3.0,57.9,Pass
STU0412,64.5,0.8,1,56.3,1,69.6,3.8,37.2,Fail
STU0413,59.6,5.0,2,75.5,1,72.9,5.3,63.4,Pass
STU0414,93.3,3.4,4,95.1,1,89.5,4.7,88.2,Pass
STU0415,82.0,3.2,2,59.0,2,61.2,3.4,53.9,Pass
STU0416,69.0,8.9,3,98.0,0,100.0,4.9,96.5,Pass
STU0417,96.6,4.0,1,95.6,0,74.0,0.1,76.3,Pass
STU0418,79.4,2.2,2,72.5,2,77.2,2.2,45.3,Pass
STU0419,92.2,2.8,4,94.9,0,79.3,6.7,84.7,Pass
STU0420,78.8,5.5,4,80.1,0,90.3,8.3,95.3,Pass
STU0421,100.0,3.7,1,91.1,0,87.8,6.0,84.2,Pass
STU0422,99.1,1.1,3,80.1,0,58.9,5.8,79.9,Pass
STU0423,75.0,5.1,0,63.9,1,74.2,2.2,49.7,Pass
STU0424,89.7,2.4,2,70.7,1,84.2,2.4,62.0,Pass
STU0425,85.7,6.7,5,98.0,1,100.0,4.2,88.0,Pass
STU0426,94.4,5.3,1,76.2,0,96.2,3.5,79.0,Pass
STU0427,66.4,2.7,2,63.2,2,70.1,4.4,52.0,Pass
STU0428,86.2,5.7,2,96.8,0,98.2,3.5,100.0,Pass
STU0429,90.7,3.6,0,72.9,0,77.3,4.1,67.0,Pass
STU0430,56.9,4.9,3,77.7,1,100.0,6.4,74.3,Pass
STU0431,63.8,4.3,1,72.8,2,82.8,3.4,65.1,Pass
STU0432,53.5,2.1,4,60.5,2,55.1,3.2,47.1,Pass
STU0433,74.8,2.4,5,68.0,2,62.8,7.9,73.6,Pass
STU0434,86.6,5.3,3,95.1,2,100.0,5.5,86.4,Pass
STU0435,96.0,2.9,2,66.2,2,75.5,7.2,67.7,Pass
STU0436,78.9,2.8,0,66.7,0,64.4,3.3,46.6,Pass
STU0437,97.5,1.9,3,87.0,1,93.7,4.9,83.2,Pass
STU0438,61.4,4.2,1,65.6,1,73.6,2.7,54.3,Pass
STU0439,57.6,7.0,1,77.1,3,83.1,4.2,66.5,Pass
STU0440,77.3,1.7,1,67.8,2,64.4,1.1,41.6,Pass
STU0441,82.6,3.5,1,75.7,0,88.7,1.9,61.8,Pass
STU0442,77.6,5.9,2,93.4,1,100.0,6.2,77.9,Pass
STU0443,53.2,3.4,2,63.6,2,72.5,4.0,52.5,Pass
STU0444,76.9,4.3,1,56.9,0,69.7,3.5,51.4,Pass
STU0445,62.3,1.7,0,62.9,3,65.6,1.8,34.2,Fail
STU0446,86.0,4.2,5,98.0,0,85.1,5.7,96.2,Pass
STU0447,82.4,3.2,0,80.4,2,78.5,5.0,63.0,Pass
STU0448,66.7,5.2,0,46.2,2,95.0,4.0,57.5,Pass
STU0449,71.8,5.5,1,84.3,2,95.2,2.7,64.4,Pass
STU0450,65.3,7.9,1,87.4,1,100.0,6.6,77.5,Pass
STU0451,77.2,4.5,3,73.0,2,64.0,7.9,74.9,Pass
STU0452,89.5,4.1,1,81.1,0,87.1,4.8,72.7,Pass
STU0453,66.2,3.8,0,65.7,2,65.4,4.8,51.9,Pass
STU0454,84.0,2.9,1,75.5,0,83.6,5.6,67.2,Pass
STU0455,71.6,4.1,4,79.8,1,87.8,3.2,76.8,Pass
STU0456,68.5,3.0,2,58.7,0,65.6,7.1,73.1,Pass
STU0457,76.7,3.8,0,66.4,0,72.0,5.1,72.4,Pass
STU0458,65.6,5.7,3,77.8,0,100.0,6.3,69.7,Pass
STU0459,71.4,1.8,1,46.3,3,55.7,3.3,33.3,Fail
STU0460,63.6,5.4,1,65.9,1,71.1,2.4,55.0,Pass
STU0461,100.0,5.7,0,89.9,0,96.8,3.4,90.3,Pass
STU0462,78.4,3.3,3,87.1,0,70.7,5.6,75.2,Pass
STU0463,69.6,0.5,1,47.9,4,43.2,1.5,26.7,Fail
STU0464,80.6,2.5,0,59.3,2,80.0,3.0,45.7,Pass
STU0465,76.7,5.7,2,76.5,1,70.1,3.3,66.6,Pass
STU0466,75.3,3.5,3,75.5,0,66.8,4.4,65.0,Pass
STU0467,85.4,1.8,1,75.4,2,69.1,1.5,41.5,Pass
STU0468,87.1,2.6,5,96.1,1,78.5,3.7,69.0,Pass
STU0469,71.6,4.9,3,84.1,1,100.0,5.9,70.3,Pass
STU0470,71.1,4.4,3,79.9,0,95.6,4.4,71.7,Pass
STU0471,74.7,3.1,4,70.8,0,56.7,4.7,61.9,Pass
STU0472,50.4,2.9,1,54.2,1,38.8,2.8,45.6,Pass
STU0473,59.8,2.8,2,68.1,0,63.0,8.4,65.4,Pass
STU0474,94.4,1.9,2,70.2,0,68.7,5.0,67.2,Pass
STU0475,97.7,6.2,2,96.5,1,95.6,6.2,98.0,Pass
STU0476,75.0,3.0,2,69.9,1,72.1,3.2,59.2,Pass
STU0477,84.9,5.6,3,86.2,3,98.0,6.3,72.5,Pass
STU0478,81.7,6.1,3,91.8,0,89.2,5.3,100.0,Pass
STU0479,100.0,5.2,2,76.8,1,95.1,3.7,84.4,Pass
STU0480,91.4,2.8,3,82.6,2,72.0,7.7,69.3,Pass
STU0481,76.5,4.2,1,94.2,0,77.2,5.0,76.7,Pass
STU0482,66.5,3.5,3,67.2,0,76.2,5.8,70.0,Pass
STU0483,58.7,2.0,5,67.5,2,45.3,4.3,50.9,Pass
STU0484,80.4,4.1,0,80.9,1,76.2,1.6,63.9,Pass
STU0485,68.9,1.5,1,67.6,1,54.4,3.3,50.8,Pass
STU0486,60.9,5.5,2,76.2,0,82.1,4.1,70.7,Pass
STU0487,70.2,2.7,0,48.0,3,70.4,4.1,29.6,Fail
STU0488,65.0,3.8,2,73.0,0,93.1,5.6,58.4,Pass
STU0489,98.2,4.0,0,82.2,1,97.6,3.6,76.5,Pass
STU0490,88.6,3.1,2,73.7,0,86.1,5.6,62.3,Pass
STU0491,77.9,4.5,1,76.6,1,81.7,4.5,71.4,Pass
STU0492,95.8,2.7,3,80.8,3,71.7,3.5,53.6,Pass
STU0493,78.9,5.0,2,85.8,0,83.0,4.5,73.1,Pass
STU0494,67.7,1.2,5,66.6,1,48.6,5.8,52.1,Pass
STU0495,96.3,3.7,3,83.7,0,92.9,6.5,84.0,Pass
STU0496,84.5,6.8,1,96.1,0,87.5,5.1,82.5,Pass
STU0497,65.6,1.8,1,55.3,2,64.6,2.6,37.5,Fail
STU0498,75.7,2.3,3,74.4,1,66.9,6.2,62.9,Pass
STU0499,67.5,4.4,0,65.4,2,85.1,4.2,49.3,Pass
STU0500,61.4,3.8,0,65.3,1,63.2,5.8,64.4,Pass
STU0501,89.1,4.1,1,67.2,2,78.7,4.2,51.4,Pass
STU0502,100.0,4.3,1,83.1,0,91.3,2.6,76.4,Pass
STU0503,61.2,4.6,2,77.8,0,71.4,6.5,80.4,Pass
STU0504,84.8,5.4,4,83.8,4,100.0,5.2,65.1,Pass
STU0505,70.2,4.2,2,72.4,2,86.0,5.1,63.2,Pass
STU0506,72.2,3.1,6,59.3,1,90.4,6.9,71.6,Pass
STU0507,70.9,4.6,1,64.6,2,76.5,4.3,54.5,Pass
STU0508,67.6,6.7,2,79.0,0,60.8,5.0,79.9,Pass
STU0509,78.6,3.3,1,72.0,1,72.0,1.4,61.9,Pass
STU0510,68.0,1.8,3,66.0,0,62.6,3.1,54.9,Pass
STU0511,81.2,5.4,3,87.9,0,99.5,7.2,93.7,Pass
STU0512,77.4,3.3,2,70.0,0,78.7,5.1,70.4,Pass
STU0513,75.1,0.5,4,58.1,2,49.9,7.7,44.7,Pass
STU0514,67.1,4.9,2,83.5,1,98.6,3.3,80.2,Pass
STU0515,71.1,2.6,3,70.4,0,56.9,4.8,59.0,Pass
STU0516,87.1,3.3,2,74.7,1,78.6,6.2,73.7,Pass
STU0517,84.0,4.1,2,90.4,0,73.9,3.8,72.5,Pass
STU0518,66.3,3.8,1,84.7,1,73.4,3.3,62.0,Pass
STU0519,79.2,4.7,3,73.8,0,100.0,4.9,78.8,Pass
STU0520,87.0,2.8,3,80.5,2,75.8,4.2,66.1,Pass
STU0521,58.0,4.4,2,95.5,0,71.1,5.5,61.1,Pass
STU0522,84.5,3.1,0,72.6,0,60.9,0.6,61.5,Pass
STU0523,70.0,4.8,1,76.7,0,78.9,6.7,73.1,Pass
STU0524,84.8,4.5,1,80.4,1,100.0,2.7,73.7,Pass
STU0525,68.8,1.9,5,72.3,2,58.7,2.6,58.5,Pass
STU0526,56.3,5.3,1,79.3,1,75.2,4.4,70.0,Pass
STU0527,58.5,2.6,3,53.4,2,71.3,4.2,37.0,Fail
STU0528,78.6,4.9,2,82.0,0,84.2,4.6,72.0,Pass
STU0529,81.1,4.1,3,63.2,2,96.4,5.6,68.9,Pass
STU0530,67.1,6.6,4,89.8,1,80.5,7.3,89.1,Pass
STU0531,85.7,3.1,3,70.5,4,85.7,7.5,53.6,Pass
STU0532,58.1,2.9,3,67.7,1,78.7,3.8,63.5,Pass
STU0533,77.2,3.5,2,60.6,1,86.8,5.6,61.8,Pass
STU0534,63.5,3.0,3,63.6,2,47.1,6.0,58.6,Pass
STU0535,70.2,4.9,2,86.3,0,76.2,0.9,81.0,Pass
STU0536,78.6,0.8,2,54.1,3,56.1,2.5,38.0,Fail
STU0537,67.7,1.7,5,51.6,1,69.3,3.7,57.9,Pass
STU0538,73.4,1.7,4,68.9,1,48.8,5.8,54.3,Pass
STU0539,90.1,5.1,1,81.5,2,85.2,4.8,77.0,Pass
STU0540,71.1,6.4,2,86.0,1,77.9,5.7,81.9,Pass
STU0541,88.0,3.3,3,74.0,2,73.4,4.5,62.8,Pass
STU0542,64.4,3.2,2,82.9,0,55.4,4.1,58.0,Pass
STU0543,84.4,3.6,2,65.3,3,97.7,4.5,56.2,Pass
STU0544,95.3,5.5,0,98.0,0,94.3,3.3,78.0,Pass
STU0545,48.3,1.9,3,52.4,0,57.0,5.8,56.3,Pass
STU0546,68.4,3.9,2,74.1,3,75.2,3.0,63.0,Pass
STU0547,84.9,5.2,3,84.0,1,92.9,4.3,85.9,Pass
STU0548,75.6,4.4,2,73.1,2,76.1,4.9,79.3,Pass
STU0549,82.5,3.8,3,74.0,1,89.8,4.6,68.7,Pass
STU0550,70.8,5.2,2,85.5,1,86.9,3.2,77.9,Pass
STU0551,79.0,0.5,2,47.1,1,57.9,4.5,36.3,Fail
STU0552,76.1,4.7,2,82.9,1,78.5,3.9,70.9,Pass
STU0553,92.0,2.4,3,58.9,3,73.0,3.5,43.3,Pass
STU0554,81.1,0.5,2,61.4,2,64.0,3.5,47.2,Pass
STU0555,82.1,4.4,1,85.5,1,88.0,2.8,68.7,Pass
STU0556,73.1,5.8,1,72.8,2,92.3,4.5,56.7,Pass
STU0557,72.1,3.3,3,78.3,0,65.0,4.4,65.3,Pass
STU0558,72.8,5.1,0,77.2,2,100.0,3.0,75.7,Pass
STU0559,82.7,6.2,0,98.0,0,94.4,3.3,87.7,Pass
STU0560,72.9,5.7,3,79.9,1,90.0,7.1,85.9,Pass
STU0561,81.5,6.3,2,98.0,2,97.0,5.7,84.8,Pass
STU0562,100.0,4.8,2,71.5,2,100.0,2.2,69.8,Pass
STU0563,88.5,3.6,0,72.5,1,81.1,4.7,64.0,Pass
STU0564,74.1,0.8,2,44.2,3,52.4,4.6,35.5,Fail
STU0565,92.4,3.1,1,90.8,0,83.6,4.5,67.7,Pass
STU0566,73.1,2.1,2,62.4,4,57.7,5.4,46.4,Pass
STU0567,53.5,7.2,3,85.3,1,90.9,6.0,90.7,Pass
STU0568,65.9,3.2,1,69.0,4,92.4,4.8,47.1,Pass
STU0569,55.6,3.7,5,72.7,0,69.5,5.5,68.9,Pass
STU0570,73.8,4.4,1,70.8,1,84.3,5.4,62.5,Pass
STU0571,78.2,3.6,2,64.9,1,70.9,4.8,73.2,Pass
STU0572,98.1,6.4,2,98.0,0,100.0,3.1,91.1,Pass
STU0573,81.9,2.4,1,71.1,1,91.5,5.2,65.3,Pass
STU0574,75.4,3.8,3,82.9,0,86.8,4.9,75.6,Pass
STU0575,88.0,2.2,1,84.7,3,80.6,3.2,53.3,Pass
STU0576,51.5,1.3,1,35.0,4,44.8,2.7,15.2,Fail
STU0577,80.8,2.5,1,67.1,2,75.6,3.1,46.4,Pass
STU0578,87.3,3.4,1,85.3,0,73.7,4.3,76.1,Pass
STU0579,60.3,2.8,4,66.3,1,51.3,3.9,51.6,Pass
STU0580,91.7,2.3,0,50.6,3,61.8,0.7,41.7,Pass
STU0581,82.1,1.1,1,50.4,3,67.0,1.7,36.3,Fail
STU0582,73.0,3.4,1,72.0,1,59.9,4.5,63.5,Pass
STU0583,85.6,0.9,1,63.7,2,58.7,3.0,40.3,Pass
STU0584,100.0,4.8,1,93.9,1,97.9,5.9,89.1,Pass
STU0585,80.2,3.6,1,67.6,1,89.5,3.9,62.5,Pass
STU0586,81.0,1.0,0,59.7,1,55.9,4.0,60.1,Pass
STU0587,72.5,3.0,3,63.8,0,81.8,3.9,55.7,Pass
STU0588,67.8,2.2,0,60.8,2,72.2,2.4,58.1,Pass
STU0589,88.0,4.0,3,84.2,3,76.0,5.2,66.6,Pass
STU0590,67.7,5.8,1,73.9,0,98.9,4.3,78.1,Pass
STU0591,78.9,0.5,6,79.5,2,54.0,5.6,54.7,Pass
STU0592,72.3,3.7,1,57.2,1,70.6,2.7,46.1,Pass
STU0593,83.7,3.2,2,74.2,1,75.9,2.0,60.1,Pass
STU0594,82.0,4.6,1,73.4,2,87.6,5.2,64.1,Pass
STU0595,90.5,3.9,1,94.1,0,82.6,4.8,79.3,Pass
STU0596,71.9,2.2,4,74.0,1,56.7,4.3,67.7,Pass
STU0597,74.8,3.0,1,62.7,2,64.3,4.4,52.6,Pass
STU0598,66.3,2.1,2,59.8,1,62.9,3.9,52.5,Pass
STU0599,72.7,5.3,3,98.0,1,85.7,7.1,86.9,Pass
STU0600,82.5,3.5,0,64.5,1,85.4,1.4,47.0,Pass
STU0601,87.1,6.7,1,79.7,0,100.0,4.5,76.6,Pass
STU0602,66.9,3.4,1,69.3,0,71.4,3.6,52.8,Pass
STU0603,88.4,2.3,1,72.5,0,80.6,3.9,61.7,Pass
STU0604,94.3,0.9,3,74.6,1,82.5,6.7,52.2,Pass
STU0605,83.0,0.5,1,63.2,3,73.7,3.0,35.1,Fail
STU0606,100.0,0.8,2,83.0,0,84.1,4.9,58.8,Pass
STU0607,68.7,4.0,3,61.5,2,84.2,4.9,64.1,Pass
STU0608,63.1,4.4,1,61.1,2,96.1,5.7,61.9,Pass
STU0609,56.7,0.8,2,56.0,1,51.2,4.9,40.5,Pass
STU0610,96.0,5.0,3,83.7,2,100.0,4.9,68.0,Pass
STU0611,85.9,2.7,1,59.3,2,98.4,3.1,53.1,Pass
STU0612,77.3,3.7,2,90.4,3,51.5,5.3,62.9,Pass
STU0613,81.4,6.2,3,80.1,0,96.3,4.7,92.5,Pass
STU0614,64.5,5.0,2,74.3,1,93.2,5.1,82.0,Pass
STU0615,100.0,3.0,0,76.3,1,96.1,2.7,71.8,Pass
STU0616,79.6,2.0,3,79.4,1,93.3,5.2,67.1,Pass
STU0617,79.3,0.5,2,43.5,3,58.2,3.5,31.7,Fail
STU0618,86.7,2.3,2,74.7,5,69.3,3.1,39.9,Fail
STU0619,83.8,3.1,0,63.3,2,74.7,4.9,61.9,Pass
STU0620,80.7,1.8,1,69.1,1,70.3,3.9,55.3,Pass
STU0621,68.5,3.3,0,57.5,1,86.8,3.2,57.2,Pass
STU0622,83.7,3.6,1,87.9,0,97.8,4.6,72.1,Pass
STU0623,100.0,3.1,1,72.1,3,86.3,1.3,48.4,Pass
STU0624,94.1,2.4,2,55.4,1,81.1,7.3,59.4,Pass
STU0625,97.1,3.8,3,79.9,4,83.8,5.1,62.0,Pass
STU0626,71.9,4.3,3,76.1,2,74.2,2.3,64.9,Pass
STU0627,66.1,1.6,2,67.9,2,68.4,5.8,45.6,Pass
STU0628,76.5,5.9,2,76.9,1,100.0,3.9,78.1,Pass
STU0629,78.7,3.3,4,68.3,2,69.6,7.1,72.2,Pass
STU0630,91.1,3.5,1,85.6,0,87.3,4.1,64.4,Pass
STU0631,57.7,4.7,3,63.7,0,72.2,3.0,54.7,Pass
STU0632,96.4,3.9,3,85.1,0,98.9,5.5,91.3,Pass
STU0633,76.1,5.1,4,85.7,1,83.8,6.3,73.1,Pass
STU0634,72.9,4.0,2,76.7,0,58.7,6.3,68.4,Pass
STU0635,65.9,2.5,4,62.0,0,73.5,6.1,68.4,Pass
STU0636,58.1,4.1,3,64.2,1,67.7,3.3,60.7,Pass
STU0637,87.9,1.6,2,70.5,2,67.2,5.5,53.9,Pass
STU0638,78.9,3.7,3,70.8,2,83.5,4.5,64.8,Pass
STU0639,62.5,3.4,2,56.7,2,72.0,7.0,69.8,Pass
STU0640,62.5,3.1,2,75.8,2,70.9,3.9,66.9,Pass
STU0641,74.0,3.3,4,79.8,0,57.4,5.2,68.1,Pass
STU0642,98.0,0.5,4,84.9,0,73.0,3.6,74.2,Pass
STU0643,74.9,2.6,1,72.0,2,50.1,2.9,52.7,Pass
STU0644,60.0,3.7,1,55.4,1,76.3,2.8,53.0,Pass
STU0645,75.1,3.8,0,71.0,1,88.9,5.2,57.3,Pass
STU0646,74.7,1.8,3,57.5,0,49.7,2.6,56.8,Pass
STU0647,45.6,5.7,1,57.2,0,77.9,5.7,63.7,Pass
STU0648,77.3,2.0,6,71.3,2,77.3,7.5,64.0,Pass
STU0649,75.2,5.1,1,88.0,2,82.9,6.4,67.3,Pass
STU0650,86.4,4.2,1,81.9,0,93.8,4.2,82.0,Pass
STU0651,100.0,2.4,3,68.7,0,54.0,3.2,61.6,Pass
STU0652,91.5,6.5,3,95.0,0,100.0,5.5,91.9,Pass
STU0653,74.8,1.5,0,56.4,4,61.7,3.8,37.2,Fail
STU0654,64.7,5.1,2,63.9,2,78.5,5.0,61.8,Pass
STU0655,100.0,5.2,1,96.5,0,100.0,4.9,87.7,Pass
STU0656,78.7,2.4,3,68.8,1,87.1,6.8,71.2,Pass
STU0657,78.2,5.9,1,74.2,0,98.9,5.4,88.2,Pass
STU0658,77.7,3.1,3,62.6,2,90.4,5.2,48.0,Pass
STU0659,80.4,4.0,5,93.5,2,66.6,3.5,73.4,Pass
STU0660,76.3,3.9,0,68.7,1,86.2,2.3,51.6,Pass
STU0661,71.1,3.3,1,77.6,4,70.7,3.3,45.9,Pass
STU0662,71.4,4.9,2,91.8,0,75.6,1.9,76.4,Pass
STU0663,77.6,4.8,1,87.6,2,67.3,2.6,63.7,Pass
STU0664,71.5,0.5,5,57.7,2,59.1,5.0,42.1,Pass
STU0665,69.4,5.7,1,60.8,2,97.0,4.3,58.3,Pass
STU0666,79.3,0.7,3,64.1,4,71.7,5.1,45.9,Pass
STU0667,74.9,5.3,2,98.0,1,99.8,4.6,91.1,Pass
STU0668,96.0,5.4,2,92.2,1,93.0,5.3,72.5,Pass
STU0669,46.2,1.6,0,35.0,1,59.8,2.3,29.6,Fail
STU0670,91.1,2.8,2,70.7,0,93.7,4.4,74.6,Pass
STU0671,93.0,1.6,2,68.9,2,69.9,4.7,54.5,Pass
STU0672,53.1,3.1,4,57.6,3,61.4,7.7,44.8,Pass
STU0673,73.9,3.0,0,44.9,3,62.1,2.5,35.0,Fail
STU0674,73.5,4.8,3,81.2,0,99.0,5.6,83.7,Pass
STU0675,61.1,5.7,3,75.5,0,68.6,6.9,77.0,Pass
STU0676,68.7,5.9,3,98.0,0,94.2,3.5,87.4,Pass
STU0677,64.7,2.5,2,64.4,2,57.4,7.2,52.1,Pass
STU0678,99.0,3.1,0,80.6,0,75.4,5.1,67.0,Pass
STU0679,89.2,0.6,2,62.4,1,44.8,1.2,50.9,Pass
STU0680,93.3,2.1,2,74.0,1,74.0,4.7,60.0,Pass
STU0681,86.7,5.1,1,71.7,3,81.0,3.5,56.4,Pass
STU0682,64.5,6.2,0,71.1,2,89.7,3.5,78.5,Pass
STU0683,71.7,1.4,0,64.5,2,76.9,3.4,43.1,Pass
STU0684,83.9,2.5,1,70.8,1,75.6,5.2,44.4,Pass
STU0685,63.3,3.5,0,60.4,2,89.0,2.7,57.2,Pass
STU0686,86.6,4.0,2,84.5,1,75.6,3.9,79.1,Pass
STU0687,75.1,2.1,1,67.5,1,53.4,4.1,54.8,Pass
STU0688,73.5,4.2,3,94.6,1,69.7,6.1,80.2,Pass
STU0689,86.5,2.7,1,72.7,1,75.8,2.2,72.1,Pass
STU0690,83.3,3.5,1,65.8,0,100.0,6.5,64.6,Pass
STU0691,73.7,4.4,6,85.6,2,64.9,5.9,77.3,Pass
STU0692,91.9,3.5,3,87.4,0,91.3,6.5,93.8,Pass
STU0693,65.0,2.8,1,70.6,3,58.1,4.4,59.5,Pass
STU0694,85.4,3.3,1,61.4,2,77.9,4.8,54.4,Pass
STU0695,85.1,3.3,4,83.0,0,67.7,4.6,88.4,Pass
STU0696,74.3,2.9,3,64.4,2,79.7,2.3,60.7,Pass
STU0697,81.9,3.1,0,64.7,1,76.0,3.2,65.0,Pass
STU0698,63.0,6.2,0,85.4,2,99.0,4.0,75.2,Pass
STU0699,89.1,4.5,3,92.5,1,91.9,3.8,82.3,Pass
STU0700,75.8,3.0,3,67.5,2,53.3,6.3,71.3,Pass
STU0701,71.7,4.7,4,81.4,2,93.2,5.8,71.5,Pass
STU0702,90.6,2.9,2,72.3,1,60.2,3.1,73.4,Pass
STU0703,69.5,5.5,1,98.0,2,68.0,5.3,84.8,Pass
STU0704,61.1,4.1,4,77.4,2,63.3,6.6,74.5,Pass
STU0705,59.3,3.3,2,58.8,1,56.8,3.4,52.6,Pass
STU0706,85.3,4.3,1,90.0,1,100.0,6.0,78.1,Pass
STU0707,62.6,0.8,2,64.1,2,48.5,7.2,36.1,Fail
STU0708,99.1,1.6,2,87.1,0,88.0,2.4,66.6,Pass
STU0709,53.0,1.5,2,69.5,1,43.8,3.7,50.0,Pass
STU0710,98.4,3.7,1,87.8,2,93.5,4.5,61.9,Pass
STU0711,80.5,6.4,0,84.5,1,100.0,7.5,80.2,Pass
STU0712,76.8,7.3,3,95.4,0,100.0,4.9,100.0,Pass
STU0713,71.5,4.6,4,79.7,2,76.7,4.4,69.6,Pass
STU0714,82.8,4.4,6,86.7,3,82.2,5.5,82.2,Pass
STU0715,77.5,0.5,4,72.0,1,53.2,6.7,59.7,Pass
STU0716,91.2,2.6,2,74.9,1,61.7,3.2,59.9,Pass
STU0717,79.4,2.2,1,73.2,1,67.9,2.3,54.0,Pass
STU0718,79.8,2.4,4,79.2,1,67.2,5.7,68.4,Pass
STU0719,73.6,3.2,2,62.2,2,78.8,4.9,44.2,Pass
STU0720,77.3,2.7,3,58.2,1,72.3,6.4,66.5,Pass
STU0721,81.7,0.5,2,49.6,1,71.8,3.9,45.0,Pass
STU0722,57.5,4.8,3,71.6,3,75.7,5.7,66.8,Pass
STU0723,61.8,1.7,0,54.3,3,50.1,2.8,34.2,Fail
STU0724,86.9,3.9,2,75.2,1,85.7,2.6,67.6,Pass
STU0725,80.1,7.0,2,98.0,1,100.0,5.1,91.7,Pass
STU0726,75.8,1.9,2,60.7,4,47.5,4.2,40.2,Pass
STU0727,78.2,0.5,3,62.3,1,49.4,3.6,57.0,Pass
STU0728,82.2,3.0,2,74.4,1,69.3,2.0,61.7,Pass
STU0729,71.5,5.4,2,95.9,0,91.0,3.2,84.5,Pass
STU0730,68.7,6.8,3,83.2,1,100.0,5.8,78.3,Pass
STU0731,80.4,1.4,5,88.2,1,65.1,7.0,69.0,Pass
STU0732,66.3,4.3,3,71.6,0,52.1,7.8,80.7,Pass
STU0733,82.9,2.7,0,57.0,2,58.0,2.9,48.7,Pass
STU0734,57.6,3.3,2,63.1,3,62.5,3.4,40.2,Pass
STU0735,90.3,8.0,3,98.0,1,100.0,5.6,93.2,Pass
STU0736,83.7,0.9,2,69.9,0,62.7,2.3,51.0,Pass
STU0737,81.1,3.9,3,85.1,1,77.4,6.3,81.0,Pass
STU0738,89.8,4.3,2,90.1,1,100.0,7.9,86.9,Pass
STU0739,98.0,5.3,0,82.4,1,78.4,2.8,52.9,Pass
STU0740,90.2,3.7,2,83.0,2,88.3,2.7,66.6,Pass
STU0741,55.9,4.0,1,65.8,1,77.2,5.6,60.4,Pass
STU0742,62.6,2.8,2,78.8,1,71.3,4.8,55.0,Pass
STU0743,70.5,4.0,2,72.9,0,84.4,5.1,68.6,Pass
STU0744,78.3,2.9,4,72.7,0,82.8,7.8,82.9,Pass
STU0745,84.2,4.6,0,69.1,2,82.2,1.6,61.5,Pass
STU0746,69.3,2.9,2,68.4,1,57.2,2.2,52.1,Pass
STU0747,80.2,4.1,0,76.8,0,62.8,3.3,65.0,Pass
STU0748,68.9,3.5,0,56.3,1,68.4,3.5,50.4,Pass
